wine_dataset,,,,
alcohol,magnesium,flavanoids,color_intensity,hue
14.23,127,3.06,5.64,1.04
13.2,100,2.76,4.38,1.05
13.16,101,3.24,5.68,1.03
14.37,113,3.49,7.8,0.86
13.24,118,2.69,4.32,1.04
14.2,112,3.39,6.75,1.05
14.39,96,2.52,5.25,1.02
14.06,121,2.51,5.05,1.06
14.83,97,2.98,5.2,1.08
13.86,98,3.15,7.22,1.01
14.1,105,3.32,5.75,1.25
14.12,95,2.43,5,1.17
13.75,89,2.76,5.6,1.15
14.75,91,3.69,5.4,1.25
14.38,102,3.64,7.5,1.2
13.63,112,2.91,7.3,1.28
14.3,120,3.14,6.2,1.07
13.83,115,3.4,6.6,1.13
14.19,108,3.93,8.7,1.23
13.64,116,3.03,5.1,0.96
14.06,126,3.17,5.65,1.09
12.93,102,2.41,4.5,1.03
13.71,101,2.88,3.8,1.11
12.85,95,2.37,3.93,1.09
13.5,96,2.61,3.52,1.12
13.05,124,2.68,3.58,1.13
13.39,93,2.94,4.8,0.92
13.3,94,2.19,3.95,1.02
13.87,107,2.97,4.5,1.25
14.02,96,2.33,4.7,1.04
13.73,101,3.25,5.7,1.19
13.58,106,3.19,6.9,1.09
13.68,104,2.69,3.84,1.23
13.76,132,2.74,5.4,1.25
13.51,110,2.53,4.2,1.1
13.48,100,2.98,5.1,1.04
13.28,110,2.68,4.6,1.09
13.05,98,2.43,4.25,1.12
13.07,98,2.64,3.7,1.18
14.22,128,3.04,5.1,0.89
13.56,117,3.29,6.13,0.95
13.41,90,2.68,4.28,0.91
13.88,101,3.56,5.43,0.88
13.24,103,2.63,4.36,0.82
13.05,107,3,5.04,0.88
14.21,111,2.65,5.24,0.87
14.38,102,3.17,4.9,1.04
13.9,101,3.39,6.1,0.91
14.1,103,2.92,6.2,1.07
13.94,108,3.54,8.9,1.12
13.05,92,3.27,7.2,1.12
13.83,94,2.99,5.6,1.24
13.82,111,3.74,7.05,1.01
13.77,115,2.79,6.3,1.13
13.74,118,2.9,5.85,0.92
13.56,116,2.78,6.25,0.98
14.22,118,3,6.38,0.94
13.29,102,3.23,6,1.07
13.72,108,3.67,6.8,0.89
12.37,88,0.57,1.95,1.05
12.33,101,1.09,3.27,1.25
12.64,100,1.41,5.75,0.98
13.67,94,1.79,3.8,1.23
12.37,87,3.1,4.45,1.22
12.17,104,1.75,2.95,1.45
12.37,98,2.65,4.6,1.19
13.11,78,3.18,5.3,1.12
12.37,78,2,4.68,1.12
13.34,110,1.3,3.17,1.02
12.21,151,1.28,2.85,1.28
12.29,103,1.02,3.05,0.906
13.86,86,2.86,3.38,1.36
13.49,87,1.84,3.74,0.98
12.99,139,2.89,3.35,1.31
11.96,101,2.14,3.21,0.99
11.66,97,1.57,3.8,1.23
13.03,86,2.03,4.6,1.19
11.84,112,1.32,2.65,0.96
12.33,136,1.85,3.4,1.06
12.7,101,2.55,2.57,1.19
12,86,2.26,2.5,1.38
12.72,86,2.53,3.9,1.16
12.08,78,1.58,2.2,1.31
13.05,85,1.59,4.8,0.84
11.84,94,2.21,3.05,0.79
12.67,99,1.94,2.62,1.23
12.16,90,1.69,2.45,1.33
11.65,88,1.61,2.6,1.36
11.64,84,1.69,2.8,1
12.08,70,1.59,1.74,1.07
12.08,81,1.5,2.4,1.08
12,86,1.25,3.6,1.05
12.69,80,1.46,3.05,0.96
12.29,88,2.25,2.15,1.15
11.62,98,2.26,3.25,1.16
12.47,162,2.27,2.6,1.16
11.81,134,0.99,2.5,0.95
12.29,85,2.5,2.9,1.23
12.37,88,3.75,4.5,1.04
12.29,88,2.99,2.3,1.42
12.08,97,2.17,3.3,1.27
12.6,88,1.36,2.45,1.04
12.34,98,2.11,2.8,0.8
11.82,86,1.64,2.06,0.94
12.51,85,1.92,2.94,1.04
12.42,90,1.84,2.7,0.86
12.25,80,2.03,3.4,1
12.72,84,1.76,3.3,0.88
12.22,92,2.04,2.7,0.86
11.61,94,2.92,2.65,0.96
11.46,107,2.58,2.9,0.75
12.52,88,2.27,2,0.9
11.76,103,2.03,3.8,1.23
11.41,88,2.01,3.08,1.1
12.08,84,2.29,2.9,0.93
11.03,85,2.17,1.9,1.71
11.82,86,1.6,1.95,0.95
12.42,108,2.09,2.06,1.06
12.77,80,1.25,3.4,0.7
12,87,1.64,1.28,0.93
11.45,96,2.79,3.25,0.8
11.56,119,5.08,6,0.93
12.42,102,2.13,2.08,0.92
13.05,86,2.65,2.6,0.73
11.87,82,3.03,2.8,0.75
12.07,85,2.65,2.76,0.86
12.43,86,3.15,3.94,0.69
11.79,92,2.24,3,0.97
12.37,88,2.45,2.12,0.89
12.04,80,1.75,2.6,0.79
12.86,122,1.25,4.1,0.76
12.88,104,1.22,5.4,0.74
12.81,98,1.09,5.7,0.66
12.7,106,1.2,5,0.78
12.51,85,0.58,5.45,0.75
12.6,94,0.66,7.1,0.73
12.25,89,0.47,3.85,0.75
12.53,96,0.6,5,0.82
13.49,88,0.48,5.7,0.81
12.84,101,0.6,4.92,0.89
12.93,96,0.5,4.6,0.77
13.36,89,0.5,5.6,0.7
13.52,97,0.52,4.35,0.89
13.62,92,0.8,4.4,0.91
12.25,112,0.78,8.21,0.65
13.16,102,0.55,4,0.6
13.88,80,0.34,4.9,0.58
